id,AGE,GENDER,H2,C2,FHD2,FC2,H6,C6,FHD6,FC6,H8,C8,FHD8,FC8,H9,C9,FHD9,FC9,H11,C11,FHD11,FC11,H13,C13,FHD13,FC13,H14,C14,FHD14,FC14,H18,C18,FHD18,FC18
6,34,2,5,2,5,2,1,1,1,1,1,3,1,3,1,3,1,3,1,2,1,2,5,2,5,2,1,3,1,2,5,2,5,2
13,55,1,5,3,4,3,1,1,1,1,4,3,4,2,5,3,5,3,1,1,1,1,1,1,1,1,1,1,4,1,3,1,3,1
17,27,1,5,2,5,2,2,3,2,3,5,1,5,1,4,2,4,1,2,1,2,1,5,1,1,3,4,2,4,3,3,2,3,2
19,36,2,4,1,4,1,3,1,2,1,4,1,2,1,2,1,5,1,2,1,4,1,1,1,1,1,4,1,4,1,2,1,2,1
21,23,2,2,2,4,3,1,2,2,3,3,2,4,2,3,3,5,4,3,1,2,2,1,3,2,2,2,3,2,3,2,3,2,2
22,26,1,2,1,2,1,5,1,5,1,1,2,2,2,2,3,2,2,5,1,5,1,5,1,1,1,4,2,4,2,5,4,5,4
32,26,1,3,1,4,2,1,1,2,1,1,3,1,2,4,2,5,2,4,1,4,2,2,1,1,2,4,2,4,3,3,3,3,2
33,26,1,2,2,2,2,4,1,2,1,1,1,1,1,5,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1
34,25,1,3,2,4,2,2,3,2,3,1,3,1,4,1,3,1,2,2,2,4,3,4,3,1,3,1,2,2,2,4,4,4,4
36,26,1,2,2,2,2,2,3,2,3,4,3,4,3,1,3,1,3,2,1,4,1,2,1,2,1,4,2,4,1,5,3,5,3
37,43,2,4,2,4,2,1,4,1,4,4,2,2,1,4,3,4,2,4,2,4,2,5,1,5,1,4,4,4,4,1,2,1,2
38,36,1,5,1,5,3,2,4,2,4,4,4,4,2,3,1,5,3,1,1,1,1,5,3,5,1,4,1,4,4,5,4,5,4
42,55,2,5,2,5,2,2,4,2,4,1,3,1,3,1,2,1,2,4,1,4,1,1,1,1,1,4,2,4,3,3,1,3,1
44,18,2,4,2,4,3,1,1,2,2,3,1,3,2,5,2,5,3,4,2,4,3,5,1,1,2,4,2,4,2,3,2,3,2
45,59,1,1,2,4,3,2,1,2,3,4,3,2,3,5,2,5,4,1,2,4,3,5,3,1,3,4,3,4,3,3,3,2,3
48,25,1,5,2,4,3,4,1,2,1,1,1,2,3,5,2,5,3,2,1,4,2,5,1,1,1,2,1,4,2,3,2,2,2
52,33,1,3,1,2,1,3,1,2,3,1,2,1,2,4,2,4,1,4,1,4,3,1,1,1,2,5,3,5,2,5,4,5,4
53,63,2,5,2,5,3,4,1,4,1,1,3,1,3,2,4,2,3,4,3,4,3,5,1,5,2,3,4,3,4,5,3,5,3
56,25,1,5,1,5,1,2,1,2,1,5,1,5,1,1,2,1,2,2,1,2,1,3,1,3,1,3,2,3,1,5,3,5,3
58,43,2,3,3,3,3,2,1,2,3,4,3,4,3,1,2,1,2,4,1,4,2,2,1,1,1,4,2,4,3,4,4,4,4
59,33,1,4,1,4,1,2,3,2,3,1,4,1,3,4,3,4,3,4,1,4,1,2,1,2,1,5,2,5,1,5,4,5,4
62,23,1,2,2,2,2,3,2,3,2,5,3,5,3,4,2,4,2,4,2,4,3,3,2,3,2,4,3,4,3,4,3,4,3
64,32,1,5,1,5,1,5,1,2,3,1,2,2,2,1,1,5,2,3,1,4,2,1,1,1,2,5,1,4,2,4,1,2,2
68,64,2,3,3,3,3,3,1,3,1,1,2,1,1,1,1,1,1,5,1,4,1,1,1,1,1,4,2,4,2,4,2,4,1
69,36,1,5,3,5,2,3,1,2,1,1,2,1,2,1,3,1,2,4,1,4,2,5,1,1,1,4,1,4,2,3,2,5,4
71,40,2,4,4,4,1,1,1,2,1,1,4,1,4,4,3,4,3,1,3,1,3,1,1,1,1,5,3,5,3,4,2,4,1
73,39,2,5,1,5,1,4,1,5,1,5,2,5,2,4,2,4,2,4,2,4,2,5,1,5,1,5,3,5,3,1,1,1,1
79,34,1,2,1,2,1,3,1,3,1,4,1,4,1,1,3,1,2,2,1,4,1,5,1,5,1,1,1,1,1,3,2,3,1
81,68,1,4,3,4,3,1,1,1,2,5,3,4,2,5,2,5,3,4,3,4,2,2,1,2,2,3,3,3,2,4,3,4,3
82,29,2,2,2,2,2,2,4,2,4,1,3,1,3,4,2,4,2,2,1,4,1,5,1,1,2,4,2,4,3,5,2,2,2
86,33,1,2,1,2,2,4,1,2,1,1,3,1,3,1,1,1,1,5,1,4,1,3,1,1,1,3,1,4,1,3,2,3,3
90,33,1,4,2,4,2,3,1,2,2,4,4,4,4,4,4,4,4,5,1,4,1,1,1,1,1,5,3,5,3,3,3,3,3
91,22,2,5,3,5,3,2,1,2,1,5,1,2,1,5,4,5,4,5,1,4,1,5,2,5,1,4,1,4,2,1,1,1,1
92,28,2,3,1,5,3,1,1,2,2,5,1,2,1,2,1,5,2,1,2,4,3,2,3,1,2,4,3,4,3,5,3,5,3
94,24,1,4,2,4,3,5,2,2,4,4,1,3,1,1,4,1,4,1,1,1,2,5,1,5,1,4,3,4,4,3,4,3,4
96,68,2,3,2,3,3,2,3,2,3,5,3,5,2,2,3,2,2,3,3,3,2,3,2,3,2,3,3,3,2,5,4,5,4
99,26,2,4,3,4,4,1,2,1,2,5,3,5,3,5,4,5,4,1,3,1,2,2,1,2,1,1,3,1,2,4,4,4,4
102,21,AO04,3,3,3,3,1,1,1,1,4,2,2,3,1,2,1,2,3,2,3,2,1,1,1,1,4,2,4,2,4,2,4,2
106,31,1,2,3,2,2,2,4,2,4,5,2,5,2,5,4,5,4,1,1,1,1,2,1,2,1,5,1,5,1,2,2,2,2
129,20,2,4,3,4,3,5,1,2,2,1,1,1,1,5,3,5,3,5,1,4,1,1,1,1,1,5,1,4,2,3,4,3,4
130,21,2,2,4,2,4,1,4,3,4,5,4,5,4,5,4,5,4,4,4,4,4,2,4,1,3,4,4,4,4,4,4,4,4
131,21,2,2,3,2,1,3,1,2,1,5,2,2,3,1,1,5,1,2,1,4,1,2,1,1,1,4,2,4,3,4,3,4,1
132,21,2,2,1,2,2,4,2,4,1,4,2,4,2,1,2,1,2,4,1,4,2,5,1,1,2,4,2,4,3,1,2,1,1
133,23,2,2,2,2,1,2,2,2,1,2,2,2,2,5,1,5,2,4,1,4,1,2,1,1,1,4,1,4,2,4,2,2,1
135,21,AO04,5,2,4,2,2,1,2,2,5,3,5,3,1,3,1,3,3,3,3,2,5,1,5,1,3,2,3,2,4,4,4,4
136,20,2,2,2,2,2,5,3,5,3,1,4,1,3,5,4,5,4,5,1,4,1,5,3,5,1,4,3,4,1,1,1,2,1
137,21,2,3,2,3,3,5,2,5,3,4,2,4,2,5,3,5,3,3,1,4,1,5,1,1,1,5,3,5,3,5,3,5,3
138,21,2,3,2,3,2,5,1,2,1,4,3,4,3,5,4,5,4,3,2,3,2,4,1,4,1,4,2,4,3,5,1,5,1
139,21,2,4,2,4,3,1,2,2,3,5,1,2,1,2,2,5,2,2,2,4,2,3,4,1,4,1,2,4,2,3,3,2,3
140,21,2,5,2,4,2,3,1,2,1,1,3,1,3,5,4,5,4,1,1,1,1,2,1,2,1,4,2,4,2,5,2,5,2
141,22,2,2,2,2,2,3,1,2,1,1,4,1,4,4,3,4,3,4,2,4,2,4,1,1,1,4,4,4,4,3,4,3,4
142,25,2,2,2,2,2,1,1,1,1,5,2,5,1,5,4,5,4,1,1,1,1,1,1,1,1,4,3,4,3,3,3,3,3
143,22,2,3,1,4,2,5,1,2,2,5,2,2,1,4,3,4,2,1,1,4,1,5,1,1,2,3,2,4,3,1,2,2,1
144,21,1,5,1,5,1,2,4,2,4,1,3,1,3,2,1,5,1,4,3,4,3,5,1,1,1,5,4,5,3,3,4,3,4
145,22,2,3,1,3,2,4,1,2,2,1,1,2,2,1,1,5,2,2,1,4,1,2,1,1,1,4,1,4,2,2,3,2,3
146,21,2,5,2,5,4,1,1,2,1,4,3,4,4,5,3,5,4,2,2,2,2,1,1,1,2,1,3,1,3,3,4,3,4
147,24,2,2,1,4,1,3,1,1,1,5,2,5,1,4,3,4,3,1,1,1,1,2,1,2,1,4,2,1,2,5,3,5,3
148,26,2,2,2,2,2,4,1,2,1,1,2,2,2,4,3,4,3,2,2,4,2,5,2,1,1,2,3,2,1,3,1,3,1
149,21,2,4,3,4,3,3,1,2,1,2,3,2,3,1,4,4,4,1,1,4,2,4,4,4,3,5,2,4,1,1,1,2,1
150,22,2,5,3,5,1,1,1,2,2,4,2,4,3,1,3,1,3,1,1,4,1,2,1,2,1,1,3,1,3,1,1,1,1
151,21,1,2,3,2,3,2,3,2,3,1,3,1,2,1,2,1,2,3,2,4,2,2,1,1,1,5,3,5,3,3,2,3,2
