id,AGE,GENDER,H2,C2,FHD2,FC2,H4,C4,FHD4,FC4,H6,C6,FHD6,FC6,H9,C9,FHD9,FC9,H10,C10,FHD10,FC10,H13,C13,FHD13,FC13,H16,C16,FHD16,FC16
6,34,2,5,2,5,2,5,3,5,3,1,1,1,1,1,3,1,3,3,2,3,2,5,2,5,2,1,2,1,2
13,55,1,5,3,4,3,1,1,1,1,1,1,1,1,5,3,5,3,5,3,4,1,1,1,1,1,3,1,3,1
17,27,1,5,2,5,2,5,3,1,2,2,3,2,3,4,2,4,1,5,1,1,1,5,1,1,3,5,1,1,1
19,36,2,4,1,4,1,3,1,1,1,3,1,2,1,2,1,5,1,2,1,1,1,1,1,1,1,2,1,1,1
21,23,2,2,2,4,3,5,3,3,2,1,2,2,3,3,3,5,4,1,2,1,1,1,3,2,2,5,2,2,3
22,26,1,2,1,2,1,4,1,1,2,5,1,5,1,2,3,2,2,5,3,5,2,5,1,1,1,4,2,1,4
32,26,1,3,1,4,2,5,4,5,3,1,1,2,1,4,2,5,2,3,4,3,3,2,1,1,2,5,2,1,2
33,26,1,2,2,2,2,2,1,1,2,4,1,2,1,5,1,5,1,4,1,1,1,1,1,1,1,5,1,1,1
34,25,1,3,2,4,2,3,1,1,3,2,3,2,3,1,3,1,2,5,4,5,3,4,3,1,3,4,2,1,3
36,26,1,2,2,2,2,5,3,5,3,2,3,2,3,1,3,1,3,3,3,3,3,2,1,2,1,2,1,1,2
37,43,2,4,2,4,2,5,1,1,1,1,4,1,4,4,3,4,2,5,3,1,2,5,1,5,1,5,1,1,1
38,36,1,5,1,5,3,3,2,3,2,2,4,2,4,3,1,5,3,2,1,1,1,5,3,5,1,4,3,4,1
42,55,2,5,2,5,2,5,3,5,3,2,4,2,4,1,2,1,2,3,4,3,4,1,1,1,1,3,1,1,1
44,18,2,4,2,4,3,1,1,1,3,1,1,2,2,5,2,5,3,5,2,5,2,5,1,1,2,5,2,1,2
45,59,1,1,2,4,3,5,4,5,1,2,1,2,3,5,2,5,4,2,3,1,3,5,3,1,3,3,2,1,2
48,25,1,5,2,4,3,5,3,5,3,4,1,2,1,5,2,5,3,5,1,1,4,5,1,1,1,2,1,1,3
52,33,1,3,1,2,1,5,4,5,2,3,1,2,3,4,2,4,1,1,1,1,4,1,1,1,2,4,1,1,4
53,63,2,5,2,5,3,2,3,2,3,4,1,4,1,2,4,2,3,4,2,4,2,5,1,5,2,3,1,1,2
56,25,1,5,1,5,1,2,1,1,1,2,1,2,1,1,2,1,2,1,1,1,1,3,1,3,1,4,1,4,1
58,43,2,3,3,3,3,5,4,5,4,2,1,2,3,1,2,1,2,5,2,5,3,2,1,1,1,3,2,1,4
59,33,1,4,1,4,1,5,1,1,3,2,3,2,3,4,3,4,3,5,3,1,2,2,1,2,1,3,2,1,2
62,23,1,2,2,2,2,3,1,1,2,3,2,3,2,4,2,4,2,5,2,5,2,3,2,3,2,4,2,1,3
64,32,1,5,1,5,1,2,1,1,3,5,1,2,3,1,1,5,2,3,2,1,2,1,1,1,2,3,1,1,2
68,64,2,3,3,3,3,3,3,3,2,3,1,3,1,1,1,1,1,2,1,5,1,1,1,1,1,1,2,1,3
69,36,1,5,3,5,2,1,1,1,3,3,1,2,1,1,3,1,2,5,1,5,1,5,1,1,1,2,1,1,2
71,40,2,4,4,4,1,1,1,1,2,1,1,2,1,4,3,4,3,1,3,1,4,1,1,1,1,4,3,4,3
73,39,2,5,1,5,1,5,3,5,3,4,1,5,1,4,2,4,2,5,2,5,2,5,1,5,1,4,1,4,1
79,34,1,2,1,2,1,1,1,1,1,3,1,3,1,1,3,1,2,5,1,5,1,5,1,5,1,4,1,1,1
